"","rank","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"210","4","39953299352","85266773","esl_mobileb","ESL_MobileB","514858","League of Legends: Wild Rift","live","[EN] AP League of Legends: Wild Rift | Snapdragon Mobile Challenge Grand Finals | Day 2","13","2022-10-16T01:43:13Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_esl_mobileb-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"211","5","41396915307","94407865","peekmp","peekmp","514858","League of Legends: Wild Rift","live","peekmp after hours - chillax - A9 ONLY SOLO Q TO MASTERS challenge part 2","11","2022-10-16T07:30:47Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_peekmp-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"212","6","39770411543","197220019","wootph","wootph","514858","League of Legends: Wild Rift","live","Hot Sunday New Season | #OCTOBERfest #COGG #ADG #DTG","3","2022-10-16T06:27:16Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_wootph-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"213","7","39770662615","773570450","boss_kenji","Boss_Kenji","514858","League of Legends: Wild Rift","live","THE KING OF JUNGLE GAMEPLAY (PHILIPPINE SERVER)","2","2022-10-16T08:09:08Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_boss_kenji-{width}x{height}.jpg","list(""cc5eabb5-3f2c-41b5-b9b5-399a9b4d40ea"", ""e85e4ccb-41fa-45b4-9c3a-f37807af3a5a"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"214","8","39953823160","837307107","dmei_050","dmei_050","514858","League of Legends: Wild Rift","live","Ranked LoL wild rift…","1","2022-10-16T08:35:12Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_dmei_050-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"215","9","39770588823","753683711","aknam12","aknam12","514858","League of Legends: Wild Rift","live","배린이의 일상","1","2022-10-16T07:38:30Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_aknam12-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"216","10","47312688269","814106785","tazimus","Tazimus","514858","League of Legends: Wild Rift","live","climbing that ladder. if stream cuts out let me know ! best commentary NA","1","2022-10-16T07:17:38Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_tazimus-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"217","11","46183920540","803540872","xspecs_db","Xspecs_dB","514858","League of Legends: Wild Rift","live","Morning coffee...","1","2022-10-16T08:07:45Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_xspecs_db-{width}x{height}.jpg","list(""8486f56b-8677-44f7-8004-000295391524"", ""ff56eeeb-99ed-4a60-93fc-0b3f05d8661e"", ""1eba3cfe-51cc-460a-8259-bc8bb987f904"", ""e1a43486-eee5-4f36-9ee6-76e72af00180"", ""fd8f5e68-42d3-4544-a273-5fc92dabc568"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"218","12","39770694775","837240411","anikajune_jing","anikajune_jing","514858","League of Legends: Wild Rift","live","welcome to my first stream","1","2022-10-16T08:23:13Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_anikajune_jing-{width}x{height}.jpg","list(""15530b1f-f40f-457c-8db2-23e0828518d9"", ""36b47e6e-6cdf-46fa-a85e-bd18a64af7ad"", ""83341063-b1f1-4340-a0c5-ffcad0257920"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"219","13","47312800877","420649045","xxthekingpin","XxTheKingpin","514858","League of Legends: Wild Rift","live","[NA Server/Emerald Rank/Morgana Main] TESTING","1","2022-10-16T08:34:55Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_xxthekingpin-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
