"","rank","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"199","99","40334351049","758732533","5noe","5noe","513181","Genshin Impact","live","SUMERU EXPLORATION & CHESTS HUNTING ⚔️ QOTD - Horror games suggestions?","6","2022-10-11T18:13:19Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_5noe-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","FALSE"
"200","100","39936217880","83142158","kimmybear","Kimmybear","513181","Genshin Impact","live","FREE CHARACTERS ONLY CHALLENGE ON ALT !genshinchallenge","6","2022-10-11T17:59:56Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_kimmybear-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","TRUE"
"201","1","40337320985","79202256","zy0xxx","Zy0xxx","513181","Genshin Impact","live","[DROPS] IM BACK!! NILOU PREP + CYNO STUFF! my eyes are lowkey closing (chill today? no way? omg???) -- maybe shorter strim + variety soon","2518","2022-10-12T04:43:45Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_zy0xxx-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","FALSE"
"202","2","41379939771","28532224","tentengames","tentengames","513181","Genshin Impact","live","[DROP]🚨 KQM PODCAST ABOUT DRAMA 🚨(HUGE REACT TODAY)  🚨 CN PLAYER IS MAD?🚨 (END GAME DOES NOT EXIST?)🚨 KEQING MAINS THEORYCRAFTER","717","2022-10-12T02:06:43Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_tentengames-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","FALSE"
"203","3","47290782141","595132201","rubee","Rubee","513181","Genshin Impact","live","🔴[DROPS] I'M BACK FROM TWITCHCON | Stories, AMA~ !newvid !socials !server","640","2022-10-12T02:02:20Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_rubee-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","FALSE"
"204","4","41379968523","505347648","annejyatco","annejyatco","513181","Genshin Impact","live","Weinlesefest!! Let's get that new polearm! w/ Raiden Shogun's EN VA!","485","2022-10-12T02:13:19Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_annejyatco-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"205","5","41380299787","60155821","jenlosi","JenLosi","513181","Genshin Impact","live","Theorycrafting Tuesday: All hail Queen Candace!","163","2022-10-12T03:31:59Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_jenlosi-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","FALSE"
"206","6","39759149559","146564362","ryndia","Ryndia","513181","Genshin Impact","live","[Drops ON] A very comfy strim while I cram events (°◡°♡) | !qotd !oasis","108","2022-10-12T04:43:41Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ryndia-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"207","7","41379876107","83113573","cardydesu","cardydesu","513181","Genshin Impact","live","🌺 BACK FROM TWITCH CON ! Let's Catch Up!! ❀ !c6ayato !c6xiao !discord","107","2022-10-12T01:56:40Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_cardydesu-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""6606e54c-f92d-40f6-8257-74977889ccdd"", ""52233ce2-9b31-4f67-8b39-12aea5df66bf"", ""2ffd5c3e-b927-4749-ba53-79d3b626b2da"", ""15530b1f-f40f-457c-8db2-23e0828518d9"")","TRUE"
"208","8","41379966299","80707864","sugatashin","SugataShin","513181","Genshin Impact","live","💙 [DROPS] Let's Go Questing Together~ ▷▷ !reveal !socials !7tv","82","2022-10-12T02:12:49Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_sugatashin-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","TRUE"
