"","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"71","41385994555","642647649","minahyochii","MinaHyochii","516575","VALORANT","live","Valorant NEW AGENT?| !socials 【VTuber】","30","2022-10-13T18:45:52Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_minahyochii-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"72","47296932589","522699480","khamykilla","KhamyKilla","516575","VALORANT","live","*insert dope title here* Cam on 🙂 !teamkilla !ig !twitter !discord !donate","29","2022-10-13T08:43:57Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_khamykilla-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"73","40342514969","405739372","wowi","wowi","516575","VALORANT","live","Road to inmortal🔥🔥|| Extensible el proximo viernes!! || !redes !ig !memide","28","2022-10-13T14:14:32Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_wowi-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"74","46173376220","792008662","qtpew_","qtpew_","516575","VALORANT","live","MY CRUSH IS WATCHING ME PLAY VALO AAAAAAAAAAHHHHHHHHH |´∀｀●)| !squad !socials | Check out my !newtok !youtube","28","2022-10-13T17:00:40Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_qtpew_-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""1eba3cfe-51cc-460a-8259-bc8bb987f904"", ""8bc6daab-8c15-4eb9-b533-a6417a213a93"", ""74204ae8-61d6-410c-b9a4-1207654b17ad"", ""15530b1f-f40f-457c-8db2-23e0828518d9"", ""dcf598ca-b5de-47d4-af33-ecabe9eaeee1"")","FALSE"
"75","46173034892","158501387","teeswiss","TEESWISS","516575","VALORANT","live","Did i hear a new Harbor coming to valorant | Come join our community !discord |!clip !rank !OF !hs !record !alt","28","2022-10-13T15:33:14Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_teeswiss-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"76","46172922060","166161188","halacg","HalaCG","516575","VALORANT","live","NEW VALORANT AGENT HARBOR EARLY ACCESS PREVIEW EVENT!","28","2022-10-13T15:01:17Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_halacg-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"77","47297928701","217807109","highkeyangel","highkeyangel","516575","VALORANT","live","angel | onto the next >:D |  !rank !donogoal","27","2022-10-13T18:14:13Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_highkeyangel-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"78","46172723788","28271846","georgecadman","GeorgeCadman","516575","VALORANT","live","THE HIGHEST QUALITY VALORANT GAMEPLAY ON TWITCH KEKW","27","2022-10-13T13:57:18Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_georgecadman-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"79","46172762972","244877670","death_1972","Death_1972","516575","VALORANT","live","Grandpa Noob Play Duo","27","2022-10-13T14:09:26Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_death_1972-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"80","39943578856","241065378","mikatsukitty","mikatsukitty","516575","VALORANT","live","Its thursday why are we streaming !socials","27","2022-10-13T18:12:46Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_mikatsukitty-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""3575df89-da01-4fc1-939c-b5465093ed04"", ""adc4a830-07f5-457b-95e5-5ab6cc1f9af3"")","TRUE"
