"","...1","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"1560","62","40327032921","782748460","kaleliketheleaf","kaleliketheleaf","516575","VALORANT","live","Sundays w/ Kale! Val for a bit then... Battle Royale's w/ @rachelharry & @wally3335  👻✨","24","2022-10-09T23:57:46Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_kaleliketheleaf-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1561","63","40326926281","679773511","okiekatelyn","okiekatelyn","516575","VALORANT","live","NEW PNG !!!! (drops wooo) | !discord !etsy |","23","2022-10-09T23:40:37Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_okiekatelyn-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1562","64","41372764043","531794724","jennily","jennily","516575","VALORANT","live","secret short strim","23","2022-10-10T04:01:55Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_jennily-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1563","65","41372037083","74365229","jaybravooo","jaybravooo","516575","VALORANT","live","The best average valorant player (: !discord !tiktok !socials","23","2022-10-10T00:40:18Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_jaybravooo-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1564","66","40327843385","772421219","mizubabe","mizubabe","516575","VALORANT","live","playing valorant while a hot girl sits on my lap | !socials !tiktok !twitter | #roadto1k","22","2022-10-10T02:13:08Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_mizubabe-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1565","67","41372415147","149370674","y00nic0rn","Y00NIC0RN","516575","VALORANT","live","10/09 Valorant part 4 of training #ad !hbo TCG POPup TBA! #189","22","2022-10-10T02:26:47Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_y00nic0rn-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1566","68","47281600173","487357703","suzupuyotori","SuzuPuyotori","516575","VALORANT","live","[VTUBER] Soft spoken whispers !lurk !hug","21","2022-10-10T04:12:16Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_suzupuyotori-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1567","69","47279785757","737921063","soriinotsorry","soriinotsorry","516575","VALORANT","live","plat grind b4 act ends","21","2022-10-09T23:18:23Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_soriinotsorry-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""e1a43486-eee5-4f36-9ee6-76e72af00180"", ""ff56eeeb-99ed-4a60-93fc-0b3f05d8661e"", ""0cf86924-7940-4e8c-8984-5fbaaca4cd2d"", ""1eba3cfe-51cc-460a-8259-bc8bb987f904"", ""5f399c46-3d61-421e-94ae-1b4ef87e47b7"")","FALSE"
"1568","70","40327752025","161448413","dessysenpai","dessysenpai","516575","VALORANT","live","well well well, look who it is","21","2022-10-10T01:56:47Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_dessysenpai-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1569","71","47280239645","163545474","shadeosrs","ShadeOSRS","516575","VALORANT","live","BEST VAL PLAYER NA! | NEW MONTH LETS RUN IT UP! | !sub !daily !yt !discord","21","2022-10-10T00:25:42Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_shadeosrs-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1570","72","40327694601","605880790","neoeun","neoeun","516575","VALORANT","live","ur mom !!","20","2022-10-10T01:46:19Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_neoeun-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1571","73","40327818265","142713033","helloxkaykay","helloxkaykay","516575","VALORANT","live","late night puggerinos | Socials @helloxkaykay","20","2022-10-10T02:08:14Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_helloxkaykay-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1572","74","41371707019","90810239","moisty4k","Moisty4k","516575","VALORANT","live","[OCE] duo with vitamintease | 24hr Maid outfit stream oct 11th | !single","20","2022-10-09T22:59:53Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_moisty4k-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1573","75","41372547867","228259167","tiffanitis","tiffanitis","516575","VALORANT","live","im back!! whose ready to caht and game! !discord","20","2022-10-10T03:02:57Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_tiffanitis-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1574","76","40327935721","458381639","monkeymanshanks","MonkeyManShanks","516575","VALORANT","live","i took the wock to poland | XQC's son | SEN applications","19","2022-10-10T02:30:45Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_monkeymanshanks-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1575","77","41372340075","121675520","devkalei","DevKalei","516575","VALORANT","live","Need To Finish BP !yt !pp !love !jugsize !fmk","19","2022-10-10T02:05:48Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_devkalei-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1576","78","47281179101","564887228","mangubutt","mangubutt","516575","VALORANT","live","SUNDAY E-DATES AND UWU’S || !tiktok2 !valmoney","19","2022-10-10T02:47:39Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_mangubutt-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""353ab6ac-a0ee-404e-9bfa-217446b97718"", ""8bbdb07d-df18-4f82-a928-04a9003e9a7e"", ""411e3710-decb-46fa-8f15-b4089a4441a5"", ""5f399c46-3d61-421e-94ae-1b4ef87e47b7"", ""15530b1f-f40f-457c-8db2-23e0828518d9"")","TRUE"
"1577","79","41372646907","81672440","urboyham","urboyHam","516575","VALORANT","live","first stream back from PAX hi friends","19","2022-10-10T03:29:41Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_urboyham-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1578","80","46160971420","97425748","maxonahi","Maxonahi","516575","VALORANT","live","TRY HARD VAL Q","18","2022-10-09T23:34:14Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_maxonahi-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""2193eee1-b8f0-43bd-a6d9-dba8a67528a1"", ""a31daeb5-edc2-4b29-afa1-84c96612836d"")","TRUE"
"1579","81","41372224331","43276985","arcsecond","Arcsecond","516575","VALORANT","live","Back to Valo","18","2022-10-10T01:33:58Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_arcsecond-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1580","82","47278073469","458871433","beccamar1e","beccamar1e","516575","VALORANT","live","BIGGEST DONOTHON EVER !DONOTHON (PART 2) ♥","18","2022-10-09T18:10:54Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_beccamar1e-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""69318d09-f132-4853-b4b6-09a0580f7092"")","TRUE"
"1581","83","41372204763","161439203","belluhz","belluhz","516575","VALORANT","live","[18+] Mercy meets Valorant // !socials !playlist","18","2022-10-10T01:28:43Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_belluhz-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1582","84","41372538379","149873937","crystalblueveil","CrystalBlueVeil","516575","VALORANT","live","Cake Queen is Back and Better than Ever!~ Also Much Love friendos!~!duo !discord !sage !PNG !cake !tiktok !song","18","2022-10-10T03:00:41Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_crystalblueveil-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1583","85","41371871899","39289871","dan123yal","dan123yal","516575","VALORANT","live","Derank to GOLD! | !Gamble !Tiktok | If You Watch Me You're A Very Attractive Person","18","2022-10-09T23:51:13Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_dan123yal-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1584","86","47280063341","103393803","reamplify","ReAmplify","516575","VALORANT","live","V Is For V(alorant)ariety","18","2022-10-10T00:00:47Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_reamplify-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
